competition_groups,event_name,event_url,listing_date_text,listing_year
Middle School - Boys [0] | Middle School - Girls [0] | Middle School - Mixed [0],2026 Middle School Championships,https://play.usaultimate.org/events/2026-Middle-School-Championships,"Feb 21, 2026",2026.0
Volunteers - NA [1],AUC Youth Coaches' Meeting,https://play.usaultimate.org/events/AUC-Youth-Coaches-Meeting,"Feb 08, 2026",2026.0
College - Men [10] | College - Women [10],Commonwealth Cup 2026 Weekend 1,https://play.usaultimate.org/events/Commonwealth-Cup-2026-Weekend-1,"Feb 21, 2026 - Feb 22, 2026",2026.0
College - Men [16],D-III River City Showdown,https://play.usaultimate.org/events/D-III-River-City-Showdown,"Feb 20, 2026 - Feb 22, 2026",2026.0
College - Women [9] | College - Men [10],D3 Grand Prix 2026,https://play.usaultimate.org/events/D3-Grand-Prix-2026,"Feb 14, 2026 - Feb 15, 2026",2026.0
College - Women [3] | College - Men [11],Dust Bowl 2026,https://play.usaultimate.org/events/Dust-Bowl-2026,"Feb 21, 2026 - Feb 22, 2026",2026.0
College - Men [20],Easterns Qualifier 2026,https://play.usaultimate.org/events/Easterns-Qualifier-2026,"Feb 21, 2026 - Feb 22, 2026",2026.0
College - Men [11],Florida Warm Up 2026-Weekend 2,https://play.usaultimate.org/events/Florida-Warm-Up-2026-Weekend-2,"Feb 14, 2026 - Feb 15, 2026",2026.0
College - Women [7],Golden Triangle Women's Open,https://play.usaultimate.org/events/Golden-Triangle-Womens-Open,"Feb 14, 2026 - Feb 15, 2026",2026.0
College - Men [10],Huckin' in the Hills XII,https://play.usaultimate.org/events/Huckin-in-the-Hills-XII,"Feb 21, 2026 - Feb 22, 2026",2026.0
College - Women [3],Hucks n' Kisses-cancelled,https://play.usaultimate.org/events/Hucks-n-Kisses,"Feb 14, 2026",2026.0
College - Women [9] | College - Men [17],Mardi Gras XXXVIII,https://play.usaultimate.org/events/Mardi-Gras-XXXVIII,Mardi Gras XXXVIII,2026.0
College - Men [5],Minnesota Dome 2026,https://play.usaultimate.org/events/Minnesota-Dome-2026,"Feb 21, 2026",2026.0
