event_url,event_name,cancelled,series_event,listing_date_text,start_date,end_date,listing_year,competition_group_raw,competition_group,team_count,division,gender_raw,gender,schedule_url
https://play.usaultimate.org/events/2026-Middle-School-Championships,2026 Middle School Championships,False,False,"Feb 21, 2026",2026-02-21,2026-02-21,2026,Middle School - Boys [0],Middle School - Boys,0,Middle School,Boys,,
https://play.usaultimate.org/events/2026-Middle-School-Championships,2026 Middle School Championships,False,False,"Feb 21, 2026",2026-02-21,2026-02-21,2026,Middle School - Girls [0],Middle School - Girls,0,Middle School,Girls,,
https://play.usaultimate.org/events/2026-Middle-School-Championships,2026 Middle School Championships,False,False,"Feb 21, 2026",2026-02-21,2026-02-21,2026,Middle School - Mixed [0],Middle School - Mixed,0,Middle School,Mixed,Mixed,
https://play.usaultimate.org/events/AUC-Youth-Coaches-Meeting,AUC Youth Coaches' Meeting,False,False,"Feb 08, 2026",2026-02-08,2026-02-08,2026,Volunteers - NA [1],Volunteers - NA,1,Volunteers,NA,,
https://play.usaultimate.org/events/Commonwealth-Cup-2026-Weekend-1,Commonwealth Cup 2026 Weekend 1,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Men [10],College - Men,10,College,Men,Men,https://play.usaultimate.org/events/Commonwealth-Cup-2026-Weekend-1/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Commonwealth-Cup-2026-Weekend-1,Commonwealth Cup 2026 Weekend 1,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Women [10],College - Women,10,College,Women,Women,https://play.usaultimate.org/events/Commonwealth-Cup-2026-Weekend-1/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/D-III-River-City-Showdown,D-III River City Showdown,False,False,"Feb 20, 2026 - Feb 22, 2026",2026-02-20,2026-02-22,2026,College - Men [16],College - Men,16,College,Men,Men,https://play.usaultimate.org/events/D-III-River-City-Showdown/schedule/men/CollegeMen/
https://play.usaultimate.org/events/D3-Grand-Prix-2026,D3 Grand Prix 2026,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Women [9],College - Women,9,College,Women,Women,https://play.usaultimate.org/events/D3-Grand-Prix-2026/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/D3-Grand-Prix-2026,D3 Grand Prix 2026,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Men [10],College - Men,10,College,Men,Men,https://play.usaultimate.org/events/D3-Grand-Prix-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Dust-Bowl-2026,Dust Bowl 2026,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Women [3],College - Women,3,College,Women,Women,https://play.usaultimate.org/events/Dust-Bowl-2026/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/Dust-Bowl-2026,Dust Bowl 2026,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Men [11],College - Men,11,College,Men,Men,https://play.usaultimate.org/events/Dust-Bowl-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Easterns-Qualifier-2026,Easterns Qualifier 2026,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Men [20],College - Men,20,College,Men,Men,https://play.usaultimate.org/events/Easterns-Qualifier-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Florida-Warm-Up-2026-Weekend-2,Florida Warm Up 2026-Weekend 2,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Men [11],College - Men,11,College,Men,Men,https://play.usaultimate.org/events/Florida-Warm-Up-2026-Weekend-2/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Golden-Triangle-Womens-Open,Golden Triangle Women's Open,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Women [7],College - Women,7,College,Women,Women,https://play.usaultimate.org/events/Golden-Triangle-Womens-Open/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/Huckin-in-the-Hills-XII,Huckin' in the Hills XII,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Men [10],College - Men,10,College,Men,Men,https://play.usaultimate.org/events/Huckin-in-the-Hills-XII/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Hucks-n-Kisses,Hucks n' Kisses-cancelled,True,False,"Feb 14, 2026",2026-02-14,2026-02-14,2026,College - Women [3],College - Women,3,College,Women,Women,https://play.usaultimate.org/events/Hucks-n-Kisses/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/Mardi-Gras-XXXVIII,Mardi Gras XXXVIII,False,False,Mardi Gras XXXVIII,,,2026,College - Women [9],College - Women,9,College,Women,Women,https://play.usaultimate.org/events/Mardi-Gras-XXXVIII/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/Mardi-Gras-XXXVIII,Mardi Gras XXXVIII,False,False,Mardi Gras XXXVIII,,,2026,College - Men [17],College - Men,17,College,Men,Men,https://play.usaultimate.org/events/Mardi-Gras-XXXVIII/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Minnesota-Dome-2026,Minnesota Dome 2026,False,False,"Feb 21, 2026",2026-02-21,2026-02-21,2026,College - Men [5],College - Men,5,College,Men,Men,https://play.usaultimate.org/events/Minnesota-Dome-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/New-Jersey-Warm-Up-2026,New Jersey Warm-Up 2026-cancelled,True,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Men [8],College - Men,8,College,Men,Men,https://play.usaultimate.org/events/New-Jersey-Warm-Up-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/PLU-MensBBQ-2026,PLU Mens+BBQ 2026,False,False,"Feb 21, 2026 - Feb 22, 2026",2026-02-21,2026-02-22,2026,College - Men [15],College - Men,15,College,Men,Men,https://play.usaultimate.org/events/PLU-MensBBQ-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Presidents-Day-Invite-2026,Presidents' Day Invite 2026,False,False,"Feb 14, 2026 - Feb 16, 2026",2026-02-14,2026-02-16,2026,College - Men [16],College - Men,16,College,Men,Men,https://play.usaultimate.org/events/Presidents-Day-Invite-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Presidents-Day-Invite-2026,Presidents' Day Invite 2026,False,False,"Feb 14, 2026 - Feb 16, 2026",2026-02-14,2026-02-16,2026,College - Women [16],College - Women,16,College,Women,Women,https://play.usaultimate.org/events/Presidents-Day-Invite-2026/schedule/women/CollegeWomen/
https://play.usaultimate.org/events/Queen-City-Tune-Up-2026,Queen City Tune Up 2026,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Men [20],College - Men,20,College,Men,Men,https://play.usaultimate.org/events/Queen-City-Tune-Up-2026/schedule/men/CollegeMen/
https://play.usaultimate.org/events/Queen-City-Tune-Up-2026,Queen City Tune Up 2026,False,False,"Feb 14, 2026 - Feb 15, 2026",2026-02-14,2026-02-15,2026,College - Women [20],College - Women,20,College,Women,Women,https://play.usaultimate.org/events/Queen-City-Tune-Up-2026/schedule/women/CollegeWomen/
